Port;Bonus1;Bonus2;Bonus3;Bonus4;Bonus5
<<<<<<< HEAD:lib/gen-server/eu1-port-bonus.csv
Amalienborg;Gunnery Bonus 3;Sailing Bonus 4;Hull Bonus 4;Crew Bonus 3;Empty
Aransas;Gunnery Bonus 2;Sailing Bonus 4;Empty;Empty;Empty
Atwoods;Sailing Bonus 2;Empty;Empty;Empty;Empty
Baracoa;Gunnery Bonus 4;Sailing Bonus 4;Hull Bonus 3;Mast and Rig Bonus 1;Crew Bonus 4
Batabanó;Gunnery Bonus 2;Sailing Bonus 4;Hull Bonus 4;Mast and Rig Bonus 2;Crew Bonus 4
Belize;Gunnery Bonus 2;Sailing Bonus 4;Hull Bonus 4;Mast and Rig Bonus 1;Crew Bonus 4
Bridgetown;Gunnery Bonus 4;Sailing Bonus 4;Hull Bonus 3;Mast and Rig Bonus 2;Crew Bonus 4
Campeche;Gunnery Bonus 3;Sailing Bonus 4;Hull Bonus 4;Mast and Rig Bonus 2;Crew Bonus 4
Caracas;Gunnery Bonus 4;Sailing Bonus 4;Hull Bonus 4;Crew Bonus 4;Empty
Caño Araguabisi;Gunnery Bonus 2;Sailing Bonus 3;Hull Bonus 2;Mast and Rig Bonus 2;Crew Bonus 2
Chagres;Gunnery Bonus 3;Sailing Bonus 4;Hull Bonus 3;Mast and Rig Bonus 2;Crew Bonus 4
Coro;Gunnery Bonus 3;Sailing Bonus 3;Hull Bonus 4;Mast and Rig Bonus 2;Crew Bonus 4
Cumaná;Gunnery Bonus 4;Sailing Bonus 4;Hull Bonus 2;Mast and Rig Bonus 2;Crew Bonus 4
Las Tortugas;Gunnery Bonus 1;Sailing Bonus 1;Hull Bonus 1;Empty;Empty
=======
Amalienborg;Gunnery Bonus 3;Sailing Bonus 4;Hull Bonus 3;Crew Bonus 3;Empty
Aransas;Gunnery Bonus 2;Sailing Bonus 4;Empty;Empty;Empty
Baracoa;Gunnery Bonus 4;Sailing Bonus 4;Hull Bonus 3;Mast and Rig Bonus 1;Crew Bonus 4
Basse-Terre;Sailing Bonus 2;Mast and Rig Bonus 1;Crew Bonus 2;Empty;Empty
Batabanó;Gunnery Bonus 2;Sailing Bonus 4;Hull Bonus 4;Mast and Rig Bonus 2;Crew Bonus 4
Belize;Gunnery Bonus 2;Sailing Bonus 4;Hull Bonus 4;Crew Bonus 4;Empty
Bridgetown;Gunnery Bonus 4;Sailing Bonus 4;Hull Bonus 4;Mast and Rig Bonus 2;Crew Bonus 4
Campeche;Gunnery Bonus 2;Sailing Bonus 4;Hull Bonus 4;Mast and Rig Bonus 2;Crew Bonus 4
Caracas;Gunnery Bonus 4;Sailing Bonus 4;Hull Bonus 4;Crew Bonus 4;Empty
Caño Araguabisi;Gunnery Bonus 2;Sailing Bonus 3;Hull Bonus 2;Mast and Rig Bonus 2;Crew Bonus 2
Chagres;Gunnery Bonus 3;Sailing Bonus 4;Hull Bonus 3;Mast and Rig Bonus 1;Crew Bonus 4
Coro;Gunnery Bonus 4;Sailing Bonus 4;Hull Bonus 3;Mast and Rig Bonus 2;Crew Bonus 3
Cumaná;Gunnery Bonus 4;Sailing Bonus 4;Hull Bonus 2;Mast and Rig Bonus 2;Crew Bonus 4
Las Tortugas;Sailing Bonus 1;Hull Bonus 1;Empty;Empty;Empty
>>>>>>> master:src/lib/gen-server/eu1-port-bonus.csv
Maracaibo;Gunnery Bonus 4;Sailing Bonus 4;Hull Bonus 4;Mast and Rig Bonus 1;Crew Bonus 4
Nassau;Gunnery Bonus 3;Sailing Bonus 4;Hull Bonus 4;Crew Bonus 4;Empty
Nouvelle-Orléans;Gunnery Bonus 4;Sailing Bonus 4;Hull Bonus 4;Mast and Rig Bonus 3;Crew Bonus 4
Nueva Barcelona;Gunnery Bonus 3;Sailing Bonus 3;Hull Bonus 4;Mast and Rig Bonus 1;Crew Bonus 4
Nuevitas;Gunnery Bonus 4;Sailing Bonus 4;Hull Bonus 4;Mast and Rig Bonus 2;Crew Bonus 4
Oranjestad;Gunnery Bonus 3;Sailing Bonus 4;Hull Bonus 3;Mast and Rig Bonus 2;Crew Bonus 4
Pasaje;Gunnery Bonus 1;Sailing Bonus 1;Hull Bonus 1;Crew Bonus 1;Empty
Pedro Cay;Gunnery Bonus 1;Sailing Bonus 4;Mast and Rig Bonus 2;Empty;Empty
Ponce;Gunnery Bonus 3;Sailing Bonus 4;Hull Bonus 2;Mast and Rig Bonus 2;Crew Bonus 3
Port-au-Prince;Gunnery Bonus 3;Sailing Bonus 4;Hull Bonus 4;Crew Bonus 4;Empty
Remedios;Gunnery Bonus 3;Sailing Bonus 4;Hull Bonus 3;Mast and Rig Bonus 2;Crew Bonus 4
